CITY,STATE,KMA,CITY_STATE,Available_Loads,lat,lon
Allentown,PA,ABE,"Allentown, PA",780,40.602729,-75.470955
Albuquerque,NM,ABQ,"Albuquerque, NM",40,35.0936,-106.6423
Albany,NY,ALB,"Albany, NY",210,42.6525,-73.7566
Amarillo,TX,AMA,"Amarillo, TX",37,35.203238,-101.842052
Atlanta,GA,ATL,"Atlanta, GA",1434,33.749788,-84.31685
Augusta,ME,AUG,"Augusta, ME",32,44.323228,-69.766548
Austin,TX,AUS,"Austin, TX",42,30.210692,-97.942749
Hartford,CT,BDL,"Hartford, CT",198,41.790498,-72.865323
Birmingham,AL,BHM,"Birmingham, AL",131,33.519,-86.8014
Billings,MT,BIL,"Billings, MT",1,45.774489,-108.500452
Bloomington,IL,BMI,"Bloomington, IL",101,40.478295,-88.989318
Nashville,TN,BNA,"Nashville, TN",467,36.167028,-86.778441
Bristol,NH,BNH,"Bristol, NH",59,43.611994,-71.750664
Boston,MA,BOS,"Boston, MA",425,42.375,-71.039722
Buffalo,NY,BUF,"Buffalo, NY",218,42.896659,-78.884575
Bowling Green,KY,BWG,"Bowling Green, KY",163,37.007874,-86.455891
Baltimore,MD,BWI,"Baltimore, MD",341,39.2595,-76.7091
Columbia,SC,CAE,"Columbia, SC",259,33.995024,-81.088836
Cape Girardeau,MO,CGI,"Cape Girardeau, MO",106,37.31685,-89.545861
Chattanooga,TN,CHA,"Chattanooga, TN",346,35.0455,-85.3081
Chicago,IL,CHI,"Chicago, IL",775,41.885847,-87.618123
N Charleston,SC,CHS,"N Charleston, SC",112,32.851206,-79.976442
Cedar Rapids,IA,CID,"Cedar Rapids, IA",61,41.9743,-91.655382
Cleveland,OH,CLE,"Cleveland, OH",886,41.4918,-81.6757
Charlotte,NC,CLT,"Charlotte, NC",787,35.2269,-80.8433
Columbus,OH,CMH,"Columbus, OH",1000,40.1444,-82.9789
Charleston,WV,CRW,"Charleston, WV",89,38.349,-81.630606
Cincinnati,OH,CVG,"Cincinnati, OH",260,39.091293,-84.277383
Dallas,TX,DAL,"Dallas, TX",1402,32.965736,-96.882464
Dubuque,IA,DBQ,"Dubuque, IA",37,42.33207,-90.863032
Alexandria,VA,DCA,"Alexandria, VA",9,38.820042,-77.058901
Decatur,AL,DCU,"Decatur, AL",460,34.589599,-86.98868
Denver,CO,DEN,"Denver, CO",167,39.7507,-104.989
Duluth,MN,DLH,"Duluth, MN",28,47.094431,-91.846731
Des Moines,IA,DSM,"Des Moines, IA",156,40.832081,-91.179894
Detroit,MI,DTW,"Detroit, MI",170,42.347429,-83.060398
Eau Claire,WI,EAU,"Eau Claire, WI",278,44.802142,-91.43825
Elmira,NY,ELM,"Elmira, NY",49,42.100769,-76.811977
El Paso,TX,ELP,"El Paso, TX",77,31.990718,-106.597625
Erie,PA,ERI,"Erie, PA",87,41.916222,-80.308528
Evansville,IN,EVV,"Evansville, IN",204,37.9746,-87.5674
Elizabeth,NJ,EWR,"Elizabeth, NJ",843,40.67169,-74.204335
Fargo,ND,FAR,"Fargo, ND",26,46.900878,-96.793577
Fresno,CA,FAT,"Fresno, CA",296,37.072635,-119.457202
Flagstaff,AZ,FLG,"Flagstaff, AZ",53,35.185911,-111.661979
Sioux Falls,SD,FSD,"Sioux Falls, SD",30,43.488,-96.7343
Ft Worth,TX,FTW,"Ft Worth, TX",625,32.7469,-97.3268
Ft Wayne,IN,FWA,"Ft Wayne, IN",142,41.0716,-85.1367
Spokane,WA,GEG,"Spokane, WA",26,47.919178,-117.29209
Grand Jct,CO,GJT,"Grand Jct, CO",2,40.053765,-106.225492
Green Bay,WI,GRB,"Green Bay, WI",240,44.485313,-88.016868
Grand Rapids,MI,GRR,"Grand Rapids, MI",281,42.9704,-85.6738
Greensboro,NC,GSO,"Greensboro, NC",383,36.0726,-79.792
Greenville,SC,GSP,"Greenville, SC",590,35.06537,-82.609256
Green River,WY,GVW,"Green River, WY",1,41.51959,-109.471445
Gary,IN,GYY,"Gary, IN",219,41.593333,-87.346389
Houston,TX,HOU,"Houston, TX",981,29.596156,-95.458709
Huntington,WV,HTS,"Huntington, WV",51,38.409726,-82.442348
Terre Haute,IN,HUF,"Terre Haute, IN",67,39.4667,-87.4068
Hutchinson,KS,HUT,"Hutchinson, KS",159,38.054995,-97.931052
Wilmington,NC,ILM,"Wilmington, NC",30,34.225304,-77.937856
Indianapolis,IN,IND,"Indianapolis, IN",788,39.938417,-86.13894
Jackson,MS,JAN,"Jackson, MS",151,30.411389,-88.534444
Jacksonville,FL,JAX,"Jacksonville, FL",229,30.3163,-81.4175
Jefferson City,MO,JEF,"Jefferson City, MO",70,38.546212,-92.152462
Brooklyn,NY,JFK,"Brooklyn, NY",33,40.694021,-73.99034
Joplin,MO,JLN,"Joplin, MO",285,37.096858,-94.505144
Joliet,IL,JOT,"Joliet, IL",1053,41.527154,-88.08241
Lakeland,FL,LAL,"Lakeland, FL",466,28.038134,-81.939153
Las Vegas,NV,LAS,"Las Vegas, NV",65,36.172082,-115.122366
